,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
354,Ozoir-la-Ferrière,0,FR,1666382288,91,48.767,2.6687,62.33,6.91
355,Inhambane,40,MZ,1666382289,78,-23.865,35.3833,73.38,0.0
356,Takoradze,51,GH,1666382291,86,4.8845,-1.7554,77.81,7.78
357,Green River,23,US,1666382292,19,41.5286,-109.4662,66.18,10.0
358,Jensen Beach,40,US,1666382294,64,27.2545,-80.2298,79.03,18.41
359,Grindavik,40,IS,1666382295,93,63.8424,-22.4338,39.15,9.22
360,Östersund,6,SE,1666382296,100,63.1792,14.6357,36.05,10.36
361,Coahuayana Viejo,100,MX,1666382298,82,18.7333,-103.6833,80.02,1.48
362,Puerto Boyacá,60,CO,1666382299,54,5.9758,-74.5885,89.94,3.29
363,Abu Kamal,100,SY,1666382301,51,34.4506,40.9171,72.43,3.91
364,Novouzensk,100,RU,1666382302,80,50.4592,48.1431,41.5,19.75
365,Bondoukou,7,CI,1666382303,74,8.0333,-2.8,75.54,1.45
366,Ostrovnoy,100,RU,1666382305,77,68.0531,39.5131,31.82,13.58
367,Hong Kong,100,HK,1666382303,83,22.2855,114.1577,75.94,1.01
368,Hot Springs,0,US,1666382307,28,34.5037,-93.0552,85.32,7.0
369,Nouadhibou,14,MR,1666382309,78,20.931,-17.0347,71.58,16.11
370,Sobolevo,100,RU,1666382310,80,54.4299,31.8996,40.6,4.27
371,Sola,100,VU,1666382311,88,-13.8833,167.55,75.87,5.75
372,Okitipupa,17,NG,1666382313,95,6.5047,4.7839,74.61,3.15
373,Röthenbach,100,DE,1666382314,79,47.6167,9.9833,56.25,3.8
374,Bima,99,ID,1666382316,85,-8.4667,118.7167,79.2,2.15
375,Byron Bay,100,AU,1666382317,86,-28.65,153.6167,66.7,13.56
376,Honiara,100,SB,1666382319,84,-9.4333,159.95,80.11,0.54
377,Aksu,0,CN,1666382320,36,41.1231,80.2644,51.66,3.02
378,Vågåmo,94,NO,1666382322,63,61.8751,9.0967,35.44,2.82
379,Bridlington,100,GB,1666382131,95,54.0831,-0.1919,58.89,19.28
380,Maniitsoq,100,GL,1666382324,97,65.4167,-52.9,37.18,31.41
381,Prata,100,BR,1666382325,52,-19.3072,-48.9242,79.14,10.87
382,Souillac,75,MU,1666382327,78,-20.5167,57.5167,73.78,6.91
383,Katangli,1,RU,1666382328,71,51.7102,143.2326,28.71,9.31
384,Yabrūd,0,SY,1666382330,72,33.9674,36.6574,56.3,1.43
385,Vila Franca do Campo,100,PT,1666382331,71,37.7167,-25.4333,66.61,19.98
386,Buenavista,94,PH,1666382332,90,8.9769,125.4089,75.76,5.14
387,Manta,20,EC,1666382334,61,-0.95,-80.7333,80.38,11.5
388,Carauari,98,BR,1666382335,76,-4.8828,-66.8958,82.6,4.18
389,Paso de Carrasco,100,UY,1666382186,82,-34.8603,-56.0522,63.05,12.66
390,Coquimbo,75,CL,1666382213,77,-29.9533,-71.3436,58.73,11.5
391,Bariloche,0,AR,1666382129,18,-41.1456,-71.3082,56.95,5.75
392,Ciudad Real,100,ES,1666382340,86,39.0,-4.0,62.06,5.01
393,Saurimo,54,AO,1666382342,72,-9.6608,20.3916,69.1,2.19
394,Sironj,0,IN,1666382343,54,24.1,77.7,67.55,2.3
395,Salé,100,MA,1666382344,94,34.0389,-6.8166,70.63,4.61
396,Tautira,44,PF,1666382346,81,-17.7333,-149.15,76.86,17.87
397,Luganville,100,VU,1666382347,89,-15.5333,167.1667,77.25,11.74
398,Micheweni,31,TZ,1666382349,82,-4.9667,39.8333,75.51,11.03
399,Nome,75,US,1666382350,82,64.5011,-165.4064,37.47,5.75
400,Pevek,100,RU,1666382351,96,69.7008,170.3133,23.92,0.34
401,Macamic,98,CA,1666382353,66,48.7502,-78.9996,48.07,17.9
402,Banda Aceh,100,ID,1666382354,75,5.5577,95.3222,80.1,11.43
403,Magadan,55,RU,1666382356,69,59.5667,150.8,17.04,10.47
404,Helong,1,CN,1666382357,70,42.5397,128.9972,46.18,4.65
405,Wewak,100,PG,1666382358,86,-3.5534,143.6268,77.77,1.57
406,Pacific Grove,50,US,1666382360,84,36.6177,-121.9166,69.39,8.01
407,Port Moresby,20,PG,1666382361,100,-9.4431,147.1797,74.62,6.91
408,São Gabriel,99,BR,1666382316,89,-30.3364,-54.32,62.94,11.68
409,Kuching,20,MY,1666382364,100,1.55,110.3333,77.22,3.0
410,Wajir,41,KE,1666382365,55,1.7471,40.0573,78.87,20.8
411,Haileybury,100,CA,1666382367,60,47.449,-79.6373,52.38,15.73
412,Marabu,40,MY,1666382368,100,4.4148,114.0089,75.34,2.3
413,Zonguldak,0,TR,1666382370,87,41.25,31.8333,39.79,3.33
414,Yen Bai,53,VN,1666382371,92,21.7,104.8667,68.88,3.8
415,La Orilla,100,MX,1666382373,94,17.9833,-102.2333,74.73,5.61
416,Kyra,21,RU,1666382374,69,49.5776,111.9753,26.73,3.67
417,Juba,99,SS,1666382375,87,4.8517,31.5825,72.86,1.61
418,Çorum Province,0,TR,1666382377,73,40.5,34.75,39.51,3.83
419,Rantepao,54,ID,1666382378,96,-2.9701,119.8978,66.22,2.19
420,Urubamba,85,PE,1666382380,46,-13.3047,-72.1158,76.1,10.47
421,Pandan,99,PH,1666382381,87,14.0453,124.1694,79.72,5.66
422,Poum,100,NC,1666382382,74,-20.2333,164.0167,76.77,24.9
423,Waitati,2,NZ,1666382384,67,-45.75,170.5667,51.8,2.17
424,Yamada,27,JP,1666382385,81,39.4667,141.95,53.83,6.35
425,Nahariya,6,IL,1666382387,75,33.0059,35.0941,72.05,6.55
426,Bay Roberts,100,CA,1666382388,77,47.5999,-53.2648,55.33,3.0
427,Touros,10,BR,1666382390,70,-5.1989,-35.4608,78.96,16.71
428,Sørland,100,NO,1666382391,74,67.667,12.6934,42.66,15.93
429,Bafia,100,CM,1666382393,98,4.75,11.2333,68.29,1.36
430,Kaitangata,5,NZ,1666382394,64,-46.2817,169.8464,44.76,5.66
431,Yeppoon,69,AU,1666382395,94,-23.1333,150.7333,71.38,4.74
432,Bonao,37,DO,1666382397,67,18.9369,-70.4092,79.12,5.59
433,Shenzhen,100,CN,1666382226,88,22.5455,114.0683,75.22,2.37
434,Belyy Yar,0,RU,1666382399,76,53.6039,91.3903,44.49,4.47
435,Valleyview,100,CA,1666382108,93,55.0667,-117.2859,37.44,8.05
436,Gorontalo,100,ID,1666382402,95,0.5412,123.0595,75.49,2.33
437,Bunia,86,CD,1666382114,92,1.5667,30.25,62.6,0.11
438,Aurillac,0,FR,1666382405,82,44.9167,2.45,58.08,4.61
439,Artvin Province,74,TR,1666382406,92,41.1667,41.8333,44.15,1.54
440,Kuito,100,AO,1666382408,88,-12.3833,16.9333,62.38,8.72
441,Vila,91,PT,1666382410,92,42.0304,-8.1588,50.88,7.27
442,Manuk Mangkaw,100,PH,1666382411,73,4.8,119.85,83.05,4.43
443,San Cristobal,97,VE,1666382413,87,7.7669,-72.225,73.44,1.39
444,Sorong,100,ID,1666382415,80,-0.8833,131.25,81.0,5.59
445,Lālmohan,0,BD,1666382416,69,22.3384,90.7419,78.3,9.51
446,Matara,100,LK,1666382418,91,5.9485,80.5353,75.45,7.16
447,Superior,0,US,1666382419,42,46.7208,-92.1041,66.7,11.5
448,Pauini,100,BR,1666382421,58,-7.7136,-66.9764,87.21,2.13
449,Bonthe,28,SL,1666382422,84,7.5264,-12.505,78.06,5.64
450,Colwyn Bay,92,GB,1666382424,94,53.2948,-3.7267,58.86,7.0
451,Vilcún,1,CL,1666382426,45,-38.65,-72.2333,62.29,6.38
452,Hearst,61,CA,1666382427,86,49.6835,-83.6665,48.79,11.74
453,Taoudenni,100,ML,1666382429,12,22.6783,-3.9836,86.56,12.68
454,Antalaha,1,MG,1666382430,86,-14.9003,50.2788,66.47,6.33
455,Severo-Kuril'sk,90,RU,1666382432,82,50.6789,156.125,38.25,6.15
456,East London,100,ZA,1666382433,89,-33.0153,27.9116,69.01,6.85
457,Bago,7,MM,1666382435,86,17.3367,96.4797,74.64,5.39
458,Half Moon Bay,100,US,1666382436,74,37.4636,-122.4286,75.47,11.5
459,Alofi,94,NU,1666382438,78,-19.0595,-169.9187,77.5,7.54
460,Saint-Augustin,30,CA,1666382439,58,51.226,-58.6502,50.83,18.9
461,Los Andes,63,CL,1666382441,22,-32.8337,-70.5983,79.02,8.97
462,Carandaí,87,BR,1666382442,59,-20.9536,-43.8064,72.37,5.99
463,Zuénoula,31,CI,1666382443,83,7.4292,-6.0431,74.8,3.11
464,Huarmey,72,PE,1666382445,70,-10.0681,-78.1522,67.03,10.09
465,Tonj,100,SS,1666382447,94,7.2737,28.6822,72.05,3.53
466,Ranong,100,TH,1666382449,90,9.9658,98.6348,76.66,2.17
467,Palmer,0,US,1666382450,33,42.1584,-72.3287,64.62,1.99
468,Olsztyn,100,PL,1666382452,59,53.7799,20.4942,44.56,7.65
469,Ovalle,0,CL,1666382454,26,-30.5983,-71.2003,81.12,9.24
470,Avera,29,US,1666382455,26,33.194,-82.5271,71.55,0.67
471,Le Vauclin,40,MQ,1666382457,70,14.5452,-60.8388,86.05,11.5
472,Jaisalmer,0,IN,1666382458,25,26.9147,70.9181,79.39,8.23
473,Havøysund,100,NO,1666382459,93,70.9963,24.6622,35.83,17.78
474,Cañita,100,PA,1666382461,78,9.2097,-78.8811,83.7,3.36
475,Kulhudhuffushi,100,MV,1666382462,83,6.6221,73.07,80.15,12.06
476,Balad,96,IQ,1666382465,36,34.0164,44.1453,79.14,14.07
477,Sept-Îles,78,CA,1666382466,73,50.2001,-66.3821,47.05,15.01
478,West Bay,100,KY,1666382468,79,19.3667,-81.4167,82.08,1.01
479,Albanel,70,CA,1666382469,63,48.8832,-72.4487,48.51,10.65
480,Ipixuna,69,BR,1666382471,66,-1.7625,-48.8043,85.86,8.37
481,Vallenar,0,CL,1666382472,25,-28.5708,-70.7581,79.93,8.55
482,Djebeniana,0,TN,1666382474,63,35.035,10.9081,72.72,11.81
483,Sun City West,20,US,1666382476,29,33.662,-112.3413,90.0,4.0
484,Atar,0,MR,1666382477,14,20.5169,-13.0499,92.86,12.62
485,Malinovoye Ozero,100,RU,1666382479,47,51.6753,79.7825,53.49,13.8
486,Port Hardy,75,CA,1666382480,76,50.6996,-127.4199,51.98,8.05
487,Ürümqi,0,CN,1666382482,76,43.801,87.6005,41.95,2.24
488,Imbituba,39,BR,1666382483,91,-28.24,-48.6703,68.86,5.77
489,Krasnozerskoye,100,RU,1666382485,54,53.9828,79.2374,50.25,12.28
490,Montepuez,1,MZ,1666382486,69,-13.1256,38.9997,70.34,9.44
491,Knysna,100,ZA,1666382488,83,-34.0363,23.0471,62.33,2.3
492,Mumford,77,GH,1666382489,87,5.2618,-0.759,77.9,8.7
493,Nikologory,100,RU,1666382491,85,56.1413,41.9922,35.47,3.65
494,Burnie,100,AU,1666382492,99,-41.0667,145.9167,59.94,1.12
495,Rome,0,US,1666382436,29,43.2128,-75.4557,64.81,7.0
496,Sechura,49,PE,1666382495,51,-5.5569,-80.8222,76.73,15.68
497,Olean,0,US,1666382496,31,42.0776,-78.4297,63.28,9.22
498,Novobirilyussy,100,RU,1666382498,87,56.9514,90.6661,38.17,8.19
499,Evensk,80,RU,1666382499,74,61.95,159.2333,11.43,9.51
500,Kokopo,54,PG,1666382501,83,-4.352,152.2633,77.31,5.32
501,Virú,58,PE,1666382502,53,-8.4167,-78.75,73.96,9.6
502,Margate,93,GB,1666382503,80,51.3813,1.3862,63.9,5.01
503,Thunder Bay,75,CA,1666382307,44,48.4001,-89.3168,60.78,13.8
504,Port Pirie,65,AU,1666382506,92,-33.1833,138.0167,58.68,2.04
505,Graaff-Reinet,91,ZA,1666382508,93,-32.2522,24.5308,60.93,10.89
506,Bathsheba,28,BB,1666382509,75,13.2167,-59.5167,83.14,11.81
507,Port Blair,100,IN,1666382510,87,11.6667,92.75,78.87,6.44
508,Savinka,100,RU,1666382512,77,50.0785,47.0994,42.71,17.36
509,Ponta do Sol,89,PT,1666382513,92,32.6667,-17.1,75.0,6.49
510,Ulladulla,22,AU,1666382515,96,-35.35,150.4667,63.5,5.99
511,Peniche,89,PT,1666382516,90,39.3558,-9.3811,65.28,13.2
512,Tandaltī,98,SD,1666382518,35,13.0167,31.8667,90.66,8.05
513,Haines Junction,100,CA,1666382519,95,60.7522,-137.5108,36.82,2.73
514,Verkhnyaya Inta,100,RU,1666382520,99,65.9811,60.3094,32.65,13.31
515,Nyurba,95,RU,1666382522,97,63.2842,118.3319,16.66,4.61
516,Sebring,40,US,1666382505,50,27.4956,-81.4409,77.79,9.22
517,Shaowu,94,CN,1666382524,60,27.3409,117.4831,62.65,1.7
518,Fortuna,0,US,1666382526,69,40.5982,-124.1573,68.94,11.5
519,Ferme-Neuve,100,CA,1666382528,65,46.7001,-75.4493,50.23,11.3
520,Waipawa,0,NZ,1666382529,61,-41.4122,175.5153,46.26,2.15
521,Antigonish,98,CA,1666382531,65,45.6169,-61.9986,59.14,1.99
522,Khatassy,100,RU,1666382532,97,61.9036,129.6383,28.38,4.59
523,Kieta,64,PG,1666382534,79,-6.2167,155.6333,78.51,2.98
524,The Pas,100,CA,1666382535,55,53.8251,-101.2541,44.83,12.26
525,Tommot,100,RU,1666382536,96,58.9564,126.2925,24.3,5.39
526,Fairbanks,100,US,1666382404,94,64.8378,-147.7164,34.61,5.75
527,Tolo,0,GR,1666382539,62,37.5202,22.8586,57.81,4.99
528,Verkhoyansk,62,RU,1666382429,100,67.5447,133.385,-7.8,1.61
529,Wadi Maliz,13,TN,1666382542,28,36.4681,8.5495,75.34,2.13
530,Maidenhead,75,GB,1666382504,72,51.5228,-0.7199,61.48,16.11
531,Khovd,52,MN,1666382544,52,48.0056,91.6419,36.59,5.86
532,Santa Cruz de la Sierra,75,BO,1666382283,51,-17.8,-63.1667,84.25,9.22
533,Maïné Soroa,22,NE,1666382547,19,13.2114,12.0241,85.26,7.61
534,Taltal,22,CL,1666382548,65,-25.4,-70.4833,62.15,5.01
535,Demba,53,CD,1666382479,87,-5.51,22.2667,69.76,1.05
536,Olinda,7,BR,1666382551,72,-8.0089,-34.8553,78.44,8.37
537,Siljan,99,NO,1666382552,87,59.2884,9.71,41.18,4.45
538,Cairo,2,EG,1666382400,60,30.0626,31.2497,74.16,10.36
539,Methóni,0,GR,1666382555,55,36.8197,21.7049,65.21,5.79
540,Gigmoto,100,PH,1666382556,85,13.7796,124.39,80.62,5.88
541,Hobyo,56,SO,1666382558,84,5.3505,48.5268,78.46,14.81
542,Ndélé,100,CF,1666382416,94,8.4109,20.6473,68.81,3.78
543,Karhal,0,IN,1666382560,51,27.0003,78.9414,72.77,4.07
544,Cairns,100,AU,1666382265,97,-16.9167,145.7667,75.07,2.3
545,Yar-Sale,100,RU,1666382563,98,66.8333,70.8333,30.36,5.21
546,Launceston,100,AU,1666382439,94,-41.45,147.1667,62.24,5.75
547,Kiryat Gat,24,IL,1666382371,100,31.61,34.7642,72.81,6.71
548,Ikwiriri,42,TZ,1666382567,91,-7.9562,38.9716,68.83,5.17
549,Djambala,99,CG,1666382568,87,-2.5447,14.7533,69.55,1.23
550,Grand Forks,40,US,1666382570,27,47.9417,-97.4337,64.33,12.66
551,Bǝrdǝ,100,AZ,1666382571,52,40.3744,47.1267,60.49,14.76
552,San Miguel de Cozumel,41,MX,1666382417,67,20.5083,-86.9458,83.07,11.01
553,Kovdor,99,RU,1666382574,65,67.5662,30.4758,29.35,5.73
554,Dipalpur,0,PK,1666382575,34,30.6709,73.6529,70.25,4.88
555,Beyneu,100,KZ,1666382577,79,45.3167,55.2,53.8,18.68
556,Harper,77,LR,1666382578,86,4.375,-7.7169,76.91,5.37
557,Kotel,0,BG,1666382580,72,42.8833,26.45,42.69,3.06
558,Rio Pardo de Minas,75,BR,1666382581,28,-15.6097,-42.5397,87.37,4.97
559,Maniwaki,100,CA,1666382391,47,46.3834,-75.966,55.78,14.97
560,Hutchinson,0,US,1666382534,21,38.0608,-97.9298,87.73,17.27
561,Haikou,84,CN,1666382585,83,20.0458,110.3417,74.35,5.75
562,Koshurnikovo,100,RU,1666382586,99,54.1667,93.3,35.33,3.53
563,Dossor,6,KZ,1666382587,59,47.5272,52.9811,49.03,22.28
564,Linxia Chengguanzhen,100,CN,1666382589,57,35.6003,103.2064,49.51,2.46
565,Salinópolis,54,BR,1666382471,77,-0.6136,-47.3561,82.42,14.83
566,Nacozari,5,MX,1666382591,45,25.3366,-108.2574,96.12,9.6
567,Pathein,94,MM,1666382593,86,16.7833,94.7333,74.86,5.37
568,Sinnamary,100,GF,1666382594,70,5.3833,-52.95,84.2,9.69
569,Semnan,0,IR,1666382596,31,35.5729,53.3971,66.04,3.85
570,Whitehorse,100,CA,1666382448,90,60.7161,-135.0538,40.1,1.99
